date,holdings,n_holdings,buy_signals,cash,stock_value,total,day_return_pct,cum_return_pct,actions
2026-02-12,现金,0,,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-02-13,现金,0,,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-02-24,现金,0,,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-02-25,现金,0,,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-02-26,现金,0,,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-02-27,现金,0,sh.688186,98434.65,0.0,98434.65,0.0,-1.5653,—
2026-03-02,sh.688186,1,,76353.59,25650.0,102003.59,3.6257,2.0036,买入 sh.688186 900股 @24.51
2026-03-03,sh.688186,1,,76353.59,22995.0,99348.59,-2.6028,-0.6514,—
2026-03-04,sh.688186,1,,76353.59,24192.0,100545.59,1.2048,0.5456,—
2026-03-05,sh.688186,1,,76353.59,26235.0,102588.59,2.0319,2.5886,—
2026-03-06,sh.688186,1,,76353.59,25425.0,101778.59,-0.7896,1.7786,—
2026-03-09,sh.688186,1,,76353.59,25821.0,102174.59,0.3891,2.1746,—
2026-03-10,现金,0,,102337.58,0.0,102337.58,0.1595,2.3376,卖出 sh.688186 (volume_deterioration)
2026-03-11,现金,0,,102337.58,0.0,102337.58,0.0,2.3376,—
2026-03-12,现金,0,,102337.58,0.0,102337.58,0.0,2.3376,—
2026-03-13,现金,0,,102337.58,0.0,102337.58,0.0,2.3376,—
2026-03-16,现金,0,sh.688475,102337.58,0.0,102337.58,0.0,2.3376,—
2026-03-17,sh.688475,1,,79546.82,22272.0,101818.82,-0.5069,1.8188,买入 sh.688475 800股 @28.46
2026-03-18,现金,0,,101804.54,0.0,101804.54,-0.014,1.8045,卖出 sh.688475 (volume_deterioration)
2026-03-19,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-20,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-23,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-24,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-25,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-26,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-27,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-30,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-03-31,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-01,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-02,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-03,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-07,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-08,现金,0,,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-09,现金,0,sz.300570,101804.54,0.0,101804.54,0.0,1.8045,—
2026-04-10,sz.300570,1,,88891.64,12715.0,101606.64,-0.1944,1.6066,买入 sz.300570 100股 @129.00
2026-04-13,sz.300570,1,"sh.601177,sz.001285",88891.64,13660.0,102551.64,0.9301,2.5516,—
