signal_date,symbol,name,primary_signal,exit_rule,entry_date,exit_date,hold_days,entry_price,exit_price,shares,notional,pnl_pct,pnl_amount,exit_reason,win
2026-06-02,sh.600362,江西铜业,箱体突破,R-003+X-012,2026-06-03,2026-06-04,1,48.5,46.05,600,29129.1,-5.24,-1526.73,stop_loss,False
2026-06-02,sz.000878,云南铜业,箱体突破,R-003+X-012,2026-06-03,2026-06-04,1,18.88,17.9,1700,32128.1,-5.38,-1728.53,stop_loss,False
2026-06-03,sz.301021,英诺激光,MA5反包,R-001+X-009/X-010,2026-06-04,2026-06-05,1,96.0,94.81,300,28828.8,-1.44,-414.24,ma5_break,False
2026-06-03,sh.600522,中天科技,Dragon·可买,R-003+X-003,2026-06-04,2026-06-12,6,43.81,48.6,700,30697.67,10.71,3288.31,end_of_data,True
2026-06-03,sz.300040,九洲集团,箱体突破,R-003+X-012,2026-06-04,2026-06-08,2,7.98,7.04,4100,32750.72,-11.96,-3915.58,stop_loss,False
2026-06-04,sh.603588,高能环境,箱体突破,R-003+X-012,2026-06-05,2026-06-08,1,13.71,13.01,2400,32936.9,-5.3,-1744.13,stop_loss,False
2026-06-04,sz.300037,新宙邦,MA5反包,R-001+X-009/X-010,2026-06-05,2026-06-08,1,79.13,73.26,400,31683.65,-7.6,-2408.96,stop_loss,False
2026-06-04,sz.002281,光迅科技,Dragon支线,R-003+X-003,2026-06-05,2026-06-08,1,219.96,206.99,100,22018.0,-6.08,-1339.69,stop_loss,False
2026-06-05,sh.605566,福莱蒽特,MA5反包,R-001+X-009/X-010,2026-06-08,2026-06-12,4,40.36,45.6,800,32320.29,12.76,4123.23,end_of_data,True
2026-06-05,sh.600906,财达证券,MA5反包,R-001+X-009/X-010,2026-06-08,2026-06-09,1,6.9,6.75,4800,33153.12,-2.37,-785.52,stop_loss,False
2026-06-05,sh.603439,三力制药,MA5反包,R-001+X-009/X-010,2026-06-08,2026-06-09,1,16.0,15.26,2000,32032.0,-4.82,-1542.52,stop_loss,False
2026-06-08,sh.688519,南亚新材,MA5反包,R-001+X-009/X-010,2026-06-09,2026-06-12,3,264.0,297.19,100,26426.4,12.35,3262.88,end_of_data,True
2026-06-08,sh.688456,有研粉材,MA5反包,R-001+X-009/X-010,2026-06-09,2026-06-12,3,95.96,132.05,300,28816.79,37.33,10758.6,end_of_data,True
2026-06-08,sz.300283,温州宏丰,科技价值,R-003+X-008,2026-06-09,2026-06-11,2,17.95,17.16,1800,32342.31,-4.59,-1485.2,ma20_break,False
2026-06-09,sh.600396,华电辽能,MA5反包,R-001+X-009/X-010,2026-06-10,2026-06-11,1,20.85,17.73,1500,31306.28,-15.13,-4737.87,stop_loss,False
2026-06-09,sz.002125,湘潭电化,MA5反包,R-001+X-009/X-010,2026-06-10,2026-06-12,2,16.64,18.06,2000,33313.28,8.32,2770.6,end_of_data,True
2026-06-09,sh.603728,鸣志电器,Dragon支线,R-003+X-003,2026-06-10,2026-06-11,1,65.16,61.22,500,32612.58,-6.23,-2033.19,stop_loss,False
2026-06-10,sh.600160,巨化股份,MA5反包,R-001+X-009/X-010,2026-06-11,2026-06-12,1,40.65,42.39,800,32552.52,4.07,1325.57,end_of_data,True
